,id,isrc,track,artists,album,release_date,release_year,length_ms,explicit,popularity
1098,7qiZfU4dY1lWllzX7mPBI3,GBAHS1600463,Shape of You,['Ed Sheeran'],÷ (Deluxe),2017-03-03,2017,233712,False,89
1099,6rPO02ozF3bM7NnOV4h6s2,USUM71703825,Despacito - Remix,"['Luis Fonsi', 'Daddy Yankee', 'Justin Bieber']",Despacito Feat. Justin Bieber (Remix),2017-04-17,2017,228826,False,73
1100,0KKkJNfGyhkQ5aFogxQAPU,USAT21602948,That's What I Like,['Bruno Mars'],24K Magic,2016-11-17,2016,206693,False,89
1101,7KXjTSCq5nL1LoYtL7XAwS,USUM71703085,HUMBLE.,['Kendrick Lamar'],DAMN.,2017-04-14,2017,177000,True,87
1102,6RUKPb4LETWmmr3iAEQktW,USQX91700278,Something Just Like This,"['The Chainsmokers', 'Coldplay']",Memories...Do Not Open,2017-04-07,2017,247160,False,89
1103,0M9ydKzuF3oZTfYYPfaGX1,QMCE31600796,Bad and Boujee (feat. Lil Uzi Vert),"['Migos', 'Lil Uzi Vert']",Culture,2017-01-27,2017,343150,True,76
1104,7BKLCZ1jbUBVqRi2FVlTVw,USQX91601347,Closer,"['The Chainsmokers', 'Halsey']",Closer,2016-07-29,2016,244960,False,87
1105,7FpBQ067pHB67deawpbbcY,USUM71700575,Body Like A Back Road,['Sam Hunt'],SOUTHSIDE,2020-04-03,2020,162546,False,75
1106,0pqnGHJpmpxLKifKRmU6WP,USUM71700626,Believer,['Imagine Dragons'],Evolve,2017-06-23,2017,204346,False,90
1107,3a1lNhkSLSkpJE4MSHpDu9,USUM71614484,Congratulations,"['Post Malone', 'Quavo']",Stoney (Deluxe),2016-12-09,2016,220293,True,85
1108,5uCax9HTNlzGybIStD3vDh,DEE861600586,Say You Won't Let Go,['James Arthur'],Back from the Edge,2016-10-28,2016,211466,False,89
1109,1jYiIOC5d6soxkJP81fxq2,USSM11703300,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","['DJ Khaled', 'Justin Bieber', 'Quavo', 'Chance the Rapper', 'Lil Wayne']",Grateful,2017-06-22,2017,288876,True,67
1110,7GX5flRQZVHRAGd6B4TmDO,USAT21703440,XO Tour Llif3,['Lil Uzi Vert'],Luv Is Rage 2,2017-08-25,2017,182706,True,85
1111,0VgkVdmE4gld66l8iyGjgx,USSM11701444,Mask Off,['Future'],FUTURE,2017-06-30,2017,204600,True,84
1112,3B54sVLJ402zGa6Xm4YGNe,USSM11703478,Unforgettable,"['French Montana', 'Swae Lee']",Jungle Rules,2017-07-14,2017,233901,True,88
1113,6b8Be6ljOzmkOmFslEb23P,USAT21602944,24K Magic,['Bruno Mars'],24K Magic,2016-11-17,2016,225983,False,83
1114,6uBhi9gBXWjanegOb2Phh0,USUM71700736,Stay,"['Zedd', 'Alessia Cara']",Stay,2017-02-23,2017,210090,False,78
1115,45XhKYRRkyeqoW3teSOkCM,USSM11705088,Wild Thoughts (feat. Rihanna & Bryson Tiller),"['DJ Khaled', 'Rihanna', 'Bryson Tiller']",Grateful,2017-06-22,2017,204664,True,74
1116,6fujklziTHa8uoM5OQSfIo,USUM71603293,Black Beatles,"['Rae Sremmurd', 'Gucci Mane']",SremmLife 2 (Deluxe),2016-08-12,2016,291893,True,79
1117,7MXVkk9YMctZqd1Srtv4MB,USUG11600976,Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25,2016,230453,True,95
1118,152lZdxL1OR0ZMW6KquMif,TCACO1662934,Location,['Khalid'],American Teen,2017-04-27,2017,219080,False,78
1119,5cF0dROlMOK5uNZtivgu50,USAT21700928,Attention,['Charlie Puth'],Voicenotes,2018-05-11,2018,208786,False,86
1120,7JJmb5XwzOO8jgpou264Ml,USUM71702833,There's Nothing Holdin' Me Back,['Shawn Mendes'],Illuminate (Deluxe),2017-04-20,2017,199440,False,89
1121,42ReTtvNze2AqTwS9DUGn1,USSYS1002757,Bodak Yellow (Money Moves) [Made Popular By Cardi B] [Karaoke Version],['Party Tyme Karaoke'],Party Tyme Karaoke - Super Hits 31,2018-06-08,2018,216233,False,0
1122,0WtDGnWL2KrMCk0mI1Gpwz,USYAH1600107,Redbone,['Childish Gambino'],"""Awaken, My Love!""",2016-12-02,2016,326933,True,86
1123,55n9yjI6qqXh5F2mYvUc2y,USQ4E1602586,I Don’t Wanna Live Forever (Fifty Shades Darker),"['ZAYN', 'Taylor Swift']",reputation Stadium Tour Surprise Song Playlist,2017-11-09,2017,247160,False,86
1124,12GEpg2XOPyqk03JZEZnJs,SEBGA1700015,It Ain’t Me (with Selena Gomez),"['Kygo', 'Selena Gomez']",It Ain't Me,2017-02-17,2017,220780,False,71
1125,2EEeOnHehOozLq4aS0n6SL,USAT21700378,iSpy (feat. Lil Yachty),"['KYLE', 'Lil Yachty']",iSpy (feat. Lil Yachty),2016-12-02,2016,253106,True,73
1126,7vu0JkJh0ldukEYbTVcqd0,USUM71615691,Issues,['Julia Michaels'],Nervous System,2017-07-28,2017,176320,False,78
1127,0wI7QkCcs8FUQE1OkXUIqd,USUM71506811,Scars To Your Beautiful,['Alessia Cara'],Know-It-All,2015-11-13,2015,230240,False,82
1128,5tz69p7tJuGPeMGwNTxYuV,USUM71702778,1-800-273-8255,"['Logic', 'Alessia Cara', 'Khalid']",Everybody,2017-05-05,2017,250173,True,78
1129,2cOUlop2ZakjOKe4WinesN,USUG11700631,Slow Hands,['Niall Horan'],Flicker (Deluxe),2017-10-20,2017,188174,False,79
1130,5oO3drDxtziYU2H1X23ZIp,QM5FT1600120,Love On The Brain,['Rihanna'],ANTI (Deluxe),2016-01-28,2016,224000,True,88
1131,2RzZMPIZIEomnQDq4eYIaW,USUG11601012,I Feel It Coming (feat. Daft Punk),"['The Weeknd', 'Daft Punk']",The Highlights (Deluxe),2024-02-09,2024,269176,False,0
1132,0SGkqnVQo9KPytSri1H6cF,USUM71614503,Bounce Back,['Big Sean'],I Decided.,2017-02-03,2017,222360,True,71
1133,4Ro98RCK90oHqqSZUnTFq5,GBUM71701628,Strip That Down,"['Liam Payne', 'Quavo']",Strip That Down,2017-05-18,2017,204502,False,68
1134,343YBumqHu19cGoGARUTsd,USCM51700084,Fake Love,['Drake'],More Life,2017-03-18,2017,210937,True,76
1135,1nueTG77MzNkJTKQ0ZdGzT,USUM71609975,Don't Wanna Know (feat. Kendrick Lamar),"['Maroon 5', 'Kendrick Lamar']",Red Pill Blues (Deluxe),2018-06-15,2018,214265,False,65
1136,1P17dC1amhFzptugyAO7Il,USCJY1750000,Look What You Made Me Do,['Taylor Swift'],reputation,2017-11-10,2017,211853,False,88
1137,6PCUP3dWmTjcTtXY02oFdT,GBAHS1600462,Castle on the Hill,['Ed Sheeran'],÷ (Deluxe),2017-03-03,2017,261153,False,82
1138,1PSBzsahR2AKwLJgx8ehBj,USUM71609854,Bad Things (with Camila Cabello),"['mgk', 'Camila Cabello']",bloom,2017-05-12,2017,239293,False,74
1139,72jbDTw1piOOj770jWNeaG,USQX91603031,Paris,['The Chainsmokers'],Memories...Do Not Open,2017-04-07,2017,221506,False,78
1140,43bCmCI0nSgcT7QdMXY6LV,USUM71602107,Side To Side,"['Ariana Grande', 'Nicki Minaj']",Dangerous Woman,2016-05-20,2016,226160,True,71
1141,5knuzwU65gJK7IF5yJsuaW,GBAHS1600363,Rockabye (feat. Sean Paul & Anne-Marie),"['Clean Bandit', 'Sean Paul', 'Anne-Marie']",Rockabye (feat. Sean Paul & Anne-Marie),2016-10-21,2016,251088,False,77
1142,6QgjcU0zLnzq5OrUoSZ3OK,USAT21700437,Feel It Still,['Portugal. The Man'],Woodstock,2017-06-16,2017,163253,False,83
1143,0lYBSQXN6rCTvUZvg9S0lU,QMZSY1600015,Let Me Love You,"['DJ Snake', 'Justin Bieber']",Encore,2016-08-05,2016,205946,False,88
1144,0yvPEnB032fojLfVluFjUv,USUM71707196,Sorry Not Sorry,['Demi Lovato'],Tell Me You Love Me,2017-09-29,2017,203760,True,78
1145,5eqK0tbzUPo2SoeZsov04s,USSM11705546,Bank Account,['21 Savage'],Issa Album,2017-07-06,2017,220306,True,80
1146,1WkMMavIMc4JZ8cfMmxHkI,USRC11600876,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",['Justin Timberlake'],TROLLS (Original Motion Picture Soundtrack),2016-09-23,2016,237546,False,76
1147,0GzmMQizDeA2NVMUaZksv0,FR22F1702140,Mi Gente (feat. Beyoncé),"['J Balvin', 'Willy William', 'Beyoncé']",Mi Gente (feat. Beyoncé),2017-09-28,2017,209733,False,58
1148,1zB4vmk8tFRmM9UULNzbLB,USUM71704167,Thunder,['Imagine Dragons'],Evolve,2017-06-23,2017,187146,False,89
1149,1rkfJLgTlB6XYNjgZ0sVaK,QMCE31600872,T-Shirt,['Migos'],Culture,2017-01-27,2017,242407,True,69
1150,4knL4iPxPOZjQzTUlELGSY,USSM11705366,Rake It Up (feat. Nicki Minaj),"['Yo Gotti', 'Nicki Minaj']",I Still Am,2017-10-27,2017,276333,True,68
1151,0AS63m1wHv9n4VVRizK6Hc,USUM71603531,Mercy,['Shawn Mendes'],Illuminate (Deluxe),2017-04-20,2017,208733,False,84
1152,4Q3N4Ct4zCuIHuZ65E3BD4,USAT21700379,Tunnel Vision,['Kodak Black'],Painting Pictures,2017-03-31,2017,268186,True,76
1153,0e7ipj03S05BNilyu5bRzt,USUM71710087,rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",beerbongs & bentleys,2018-04-27,2018,218146,True,86
1154,10M2Ex445zw585Ducldzkw,QM3E21606006,In Case You Didn't Know,['Brett Young'],Brett Young,2017-02-10,2017,224853,False,77
1155,6i0V12jOa3mr6uu4WYhUBr,USAT21601930,Heathens,['Twenty One Pilots'],Heathens,2016-06-16,2016,195920,False,84
1156,7i2DJ88J7jQ8K7zqFX2fW8,USUM71701077,Now Or Never,['Halsey'],hopeless fountain kingdom (Deluxe),2017-06-02,2017,214801,False,66
1157,5hTpBe8h35rJ67eAWHQsJx,USCGH1697037,Caroline,['Aminé'],Good For You,2017-07-28,2017,209640,True,74
1158,0pSBuHjILhNEo55xK1zrRt,USSM11702948,Rolex,['Ayo & Teo'],Rolex,2017-03-15,2017,238586,False,72
1159,6HZILIRieu8S0iqY8kIKhj,USUM71703079,DNA.,['Kendrick Lamar'],DAMN.,2017-04-14,2017,185946,True,83
1160,1lItf5ZXJc1by9SbPeljFd,USAT21602928,Juju on That Beat (TZ Anthem),"['Zay Hilfigerrr', 'Zayion McCall']",Juju on That Beat (TZ Anthem),2016-09-30,2016,144244,False,60
1161,6mapJIPnQ23RTAevUoE0DL,USUM71603303,Swang,['Rae Sremmurd'],SremmLife 2 (Deluxe),2016-08-12,2016,208120,True,78
1162,5mCPDVBb16L4XQwDdbRUpz,USCM51700072,Passionfruit,['Drake'],More Life,2017-03-18,2017,298940,True,87
1163,6SwRhMLwNqEi6alNPVG00n,USUM71703086,LOYALTY. FEAT. RIHANNA.,"['Kendrick Lamar', 'Rihanna']",DAMN.,2017-04-14,2017,227360,True,81
1164,0jdny0dhgjUwoIp5GkqEaA,USRC11701134,Praying,['Kesha'],Rainbow,2017-08-11,2017,230266,False,72
1165,6gBFPUFcJLzWGx4lenP6h2,USSM11607555,goosebumps,['Travis Scott'],Birds In The Trap Sing McKnight,2016-09-16,2016,243836,True,89
1166,7gwLQ4tZ5UdZ7qNcDyJ8wr,USUM71616357,Cold (feat. Future),"['Maroon 5', 'Future']",Red Pill Blues (Deluxe),2018-06-15,2018,234308,True,67
1167,0qy5D3OJre7SPJNMOL9I71,USUYG1098775,Broccoli,"['DRAM', 'Lil Yachty']",Broccoli,2016-04-06,2016,225205,True,67
1168,7tr2za8SQg2CI8EDgrdtNl,GBARL1700262,Slide (feat. Frank Ocean & Migos),"['Calvin Harris', 'Frank Ocean', 'Migos', 'Funk Wav']",Funk Wav Bounces Vol.1,2017-06-30,2017,230813,True,75
1169,7zVCrzzEJU7u24sbJPXA5W,USRN11600859,What Ifs (feat. Lauren Alaina),"['Kane Brown', 'Lauren Alaina']",Kane Brown,2016-12-02,2016,188253,False,75
1170,7qvxFz3JodM0A7xEM7k3YD,USUM71700560,Chained To The Rhythm,"['Katy Perry', 'Skip Marley']",Witness (Deluxe),2017-06-09,2017,237733,False,73
1171,5bcTCxgc7xVfSaMV3RuVke,GBARL1700772,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","['Calvin Harris', 'Pharrell Williams', 'Katy Perry', 'Big Sean', 'Funk Wav']",Funk Wav Bounces Vol.1,2017-06-30,2017,223413,True,78
1172,0SuLAslEMFZAXf0SwY7syi,USUM71603666,All Time Low,['Jon Bellion'],The Human Condition,2016-06-10,2016,217603,True,68
1173,6xHI9KjUjYT0FPtGO8Mxa1,TCACJ1540988,Hurricane,['Luke Combs'],This One's for You,2017-06-02,2017,222533,False,80
1174,1mXVgsBdtIVeCLJnSnmtdV,GBUM71704089,Too Good At Goodbyes,['Sam Smith'],The Thrill Of It All (Special Edition),2017-11-03,2017,201000,False,88
1175,5Z3GHaZ6ec9bsiI5BenrbY,USRC11700144,Young Dumb & Broke,['Khalid'],American Teen,2017-04-27,2017,202546,False,82
1176,1e1JKLEDKP7hEQzJfNAgPl,USUM71703095,Magnolia,['Playboi Carti'],Playboi Carti,2017-04-14,2017,181812,True,83
1177,0q75NwOoFiARAVp4EXU4Bs,USRC11700886,Love Galore (feat. Travis Scott),"['SZA', 'Travis Scott']",Ctrl,2017-06-09,2017,275080,True,81
1178,1f5cbQtDrykjarZVrShaDI,USAT21701817,Drowning (feat. Kodak Black),"['A Boogie Wit da Hoodie', 'Kodak Black']",The Bigger Artist,2017-09-29,2017,209269,True,81
1179,4Ce37cRWvM1vIGGynKcs22,USUM71606370,Starving,"['Hailee Steinfeld', 'Grey', 'Zedd']",Starving,2016-07-22,2016,181880,False,76
1180,5tFep7dXGd7vEJ668wTPux,USAT21603373,Both (feat. Drake),"['Gucci Mane', 'Drake']",The Return of East Atlanta Santa,2016-12-16,2016,190311,True,70
1181,0Qh38w01QRXK6KHIv0e3hb,USRC11701586,What About Us,['P!nk'],Beautiful Trauma,2017-10-13,2017,269600,False,79
1182,6kex4EBAj0WHXDKZMEJaaF,USWB11700237,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"['Jason Derulo', 'Nicki Minaj', 'Ty Dolla $ign']",Swalla (feat. Nicki Minaj & Ty Dolla $ign),2017-02-23,2017,216408,True,77
1183,0TBgMKD86t1VP3IzhxCoUl,QMCE31600876,Slippery (feat. Gucci Mane),"['Migos', 'Gucci Mane']",Culture,2017-01-27,2017,304041,True,71
1184,5Ohxk2dO5COHF1krpoPigN,USSM11703595,Sign of the Times,['Harry Styles'],Harry Styles,2017-05-12,2017,340706,False,86
1185,4jL6WWKFDqCOPo2hC3VhSS,GBBKS1500219,Water Under the Bridge,['Adele'],25,2015-11-20,2015,240439,False,74
1186,1UZOjK1BwmwWU14Erba9CZ,USRC11700814,Malibu,['Miley Cyrus'],Younger Now,2017-09-29,2017,231906,False,77
1187,5eCkuGPZNl4mISFNPgr3Dd,USUM71601627,Down,['Marian Hill'],ACT ONE,2016-06-24,2016,197773,False,57
1188,5lNuqFVMca4vPupY10cH0J,QMCE31700953,No Promises (feat. Demi Lovato),"['Cheat Codes', 'Demi Lovato']",No Promises (feat. Demi Lovato),2017-03-31,2017,222786,False,61
1189,3QGsuHI8jO1Rx4JWLUh9jd,USUM71604711,Treat You Better,['Shawn Mendes'],Illuminate,2017-04-20,2017,187973,False,88
1190,1XRgIKC5TPwo7nWGyKqgG0,USAT21703179,I Get the Bag (feat. Migos),"['Gucci Mane', 'Migos']",Mr. Davis,2017-10-13,2017,233087,True,74
1191,7mS200vKsSSVgrbMxWza54,US58E1700584,Small Town Boy,['Dustin Lynch'],Current Mood,2017-09-08,2017,205733,False,70
1192,3J8Q6aBhjpvao8BsBQ6H9Y,USUYG1131733,Everyday We Lit (feat. PnB Rock),"['YFN Lucci', 'PnB Rock']",Long Live Nut,2017-03-03,2017,197170,True,60
1193,1rfofaqEpACxVEHIZBJe6W,USSM11706905,Havana (feat. Young Thug),"['Camila Cabello', 'Young Thug']",Camila,2018-01-12,2018,217306,False,82
1194,2j5hsQvApottzvTn4pFJWF,USUM71709292,What Lovers Do (feat. SZA),"['Maroon 5', 'SZA']",Red Pill Blues (Deluxe),2018-06-15,2018,199849,False,69
1195,6Se3x9ANMLv0dCDsjGmEjh,USLD91700850,do re mi,['blackbear'],digital druglord,2017-04-21,2017,212027,True,73
1196,7floNISpH8VF4z4459Qo18,USUYG1131080,Look At Me!,['XXXTENTACION'],Look At Me!,2017-02-20,2017,126345,True,84
1197,5OUSPcqhYTOzpbXzoEvKim,USUG11600163,The Fighter,"['Keith Urban', 'Carrie Underwood']",Ripcord,2016-05-06,2016,184040,False,62
1198,6DCZcSspjsKoFjzjrWoCdn,USCM51800004,God's Plan,['Drake'],Scorpion,2018-06-29,2018,198973,True,88
1199,0tgVpDi06FyKpA1z0VMD4v,GBAHS1700024,Perfect,['Ed Sheeran'],÷ (Deluxe),2017-03-03,2017,263400,False,90
1200,4e4fqjx0Izh4svvTef1z7e,USWB11701181,Meant to Be (feat. Florida Georgia Line),"['Bebe Rexha', 'Florida Georgia Line']",Expectations,2018-06-22,2018,164205,False,77
1201,1rfofaqEpACxVEHIZBJe6W,USSM11706905,Havana (feat. Young Thug),"['Camila Cabello', 'Young Thug']",Camila,2018-01-12,2018,217306,False,82
1202,0e7ipj03S05BNilyu5bRzt,USUM71710087,rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",beerbongs & bentleys,2018-04-27,2018,218146,True,86
1203,3swc6WTsr7rl9DqQKQA55C,USUM71710836,Psycho (feat. Ty Dolla $ign),"['Post Malone', 'Ty Dolla $ign']",beerbongs & bentleys,2018-04-27,2018,221440,True,79
1204,58q2HKrzhC3ozto2nDdN4z,USAT21801431,I Like It,"['Cardi B', 'Bad Bunny', 'J Balvin']",Invasion of Privacy,2018-04-06,2018,253390,True,80
1205,09IStsImFySgyp0pIQdqAc,USUM71800463,The Middle,"['Zedd', 'Maren Morris', 'Grey']",The Middle,2018-01-23,2018,184732,False,82
1206,2G7V7zsVDxg1yRsu7Ew9RJ,USCM51800206,In My Feelings,['Drake'],Scorpion,2018-06-29,2018,217925,True,78
1207,6V1bu6o1Yo5ZXnsCJU8Ovk,USUM71805272,Girls Like You (feat. Cardi B) - Cardi B Version,"['Maroon 5', 'Cardi B']",Red Pill Blues (Deluxe),2018-06-15,2018,235545,True,69
1208,3CA9pLiwRIGtUBiMjbZmRw,USCM51800077,Nice For What,['Drake'],Scorpion,2018-06-29,2018,210746,True,82
1209,285pBltuF7vW8TeWk8hdRR,USUG11800685,Lucid Dreams,['Juice WRLD'],Goodbye & Good Riddance,2018-12-10,2018,239835,True,87
1210,7dt6x5M1jzdTEt8oCbisTK,USUM71805170,Better Now,['Post Malone'],beerbongs & bentleys,2018-04-27,2018,231266,True,84
1211,3Vo4wInECJQuz9BIBMOu8i,USAT21705441,Finesse - Remix; feat. Cardi B,"['Bruno Mars', 'Cardi B']",Finesse (Remix) [feat. Cardi B],2017-12-20,2017,217288,False,78
1212,0At2qAoaVjIwWNAqrscXli,USUM71700987,Boo'd Up,['Ella Mai'],READY,2017-02-22,2017,256063,False,70
1213,2ekn2ttSfGqwhhate0LSR0,GBAHT1600310,New Rules,['Dua Lipa'],Dua Lipa (Deluxe),2017-06-02,2017,209320,False,84
1214,3ee8Jmje8o58CHK66QrVC2,USUG11800208,SAD!,['XXXTENTACION'],?,2018-03-16,2018,166605,True,84
1215,4eWQlBRaTjPPUlzacqEeoQ,USSM11710323,Never Be the Same,['Camila Cabello'],Camila,2018-01-12,2018,226973,False,76
1216,45Egmo7icyopuzJN0oMEdk,USRC11703646,Love Lies (with Normani),"['Khalid', 'Normani']",Love Lies (with Normani),2018-02-14,2018,201707,False,77
